name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Adokiye Iyaye,1.905,81.648,Guard,24,0,15.1,1.3,2.8,0.459,1,1.7,0.58,0.3,1.1,0.278,1,1.3,0.734,0.5,0.4,0,3.9,0.4,0.7,1.1,0.4,2,2019,2020,FALSE
Otas Iyekekpolor,2.032,99.792,Forward,17.75,0.25,6.3,0.4,0.9,0.409,0.4,0.9,0.41,0,0.1,0.4,0.4,0.6,0.625,0.1,0.1,0.2,1.1,0.4,0.6,1,0.4,4,2015,2018,FALSE
Glen Izevbigie,2.0827999999999998,104.328,Center,26.5,0.5,7.8,0.5,1.3,0.403,0.5,1.3,0.403,0,0,0,0.3,0.6,0.412,0.1,0.1,0.2,1.3,0.5,0.7,1.2,0.7,2,2009,2010,FALSE
Osa Izevbuwa,1.905,104.328,Guard,30,6.333333333333333,12.8,1.3,3.5,0.373,0.7,1.7,0.424,0.6,1.8,0.327,0.4,0.6,0.654,0.5,0.4,0,3.6,0.4,1,1.4,0.7,3,2015,2017,FALSE
Ebuka Izundu,2.0827999999999998,105.2352,Center,27.5,10.75,16.8,2.6,4,0.637,2.6,4,0.639,0,0,0.333,1,1.6,0.638,0.5,0.5,0.8,6.1,2.1,2.5,4.6,0.9,4,2016,2019,FALSE
Valentine Izundu,2.0827999999999998,97.524,Center,15.4,4.4,13.4,1.1,1.7,0.646,1.1,1.7,0.646,0,0,0,0.4,1.1,0.405,0.2,0.2,1.6,2.6,1.2,1.2,2.4,0.5,5,2013,2017,FALSE
Mahamoud Jabbi,2.0065999999999997,81.648,Forward,31,26.5,31.1,3.3,6.9,0.48,2.8,5.4,0.509,0.5,1.4,0.371,1,1.3,0.738,0.9,0.8,1.5,8.1,2.9,4.4,7.3,1,2,2010,2011,FALSE
Ishmail Jabbie,1.905,77.112,Guard,14.666666666666666,0,6.3,0.7,1.5,0.433,0.5,1,0.465,0.2,0.5,0.375,0.6,0.9,0.711,0.3,0.3,0,2.1,0.3,0.6,0.9,0.5,3,2016,2018,FALSE
David Jabedo,1.9304,86.184,Forward,8,0,2.5,0.1,0.5,0.25,0.1,0.3,0.5,0,0.3,0,0.3,0.3,1,0,0,0,0.5,0.1,0.3,0.4,0.3,1,2020,2020,FALSE
Khari Jabriel Allen,1.9304,81.648,Guard,16.5,6.5,21.9,1.7,5.9,0.291,0.7,2.1,0.333,1,3.8,0.268,1.2,1.5,0.816,1,0.4,0.2,5.7,0.4,1.2,1.6,1.9,2,2018,2019,FALSE
Boban Jacdonmi,2.0574,116.1216,Forward,24.5,6.5,11.4,1.8,3.3,0.524,1.8,3.3,0.524,0,0,0,0.9,1.5,0.639,0.1,0.2,0.2,4.4,1,1.8,2.9,0.8,2,2019,2020,FALSE
Donovon Jack,2.0574,95.256,Forward,29.25,10.75,14.3,1.6,3.5,0.465,1.4,2.5,0.535,0.3,1,0.288,0.9,1.4,0.634,0.4,0.3,0.9,4.5,1,1.9,2.8,0.6,4,2013,2016,FALSE
Kadeem Jack,2.0574,106.596,Forward,27.75,16.5,23.3,3.7,8.1,0.455,3.5,7.6,0.463,0.2,0.5,0.333,1.9,3,0.633,0.6,0.6,0.9,9.4,2,3.3,5.3,1.6,4,2012,2015,FALSE
Adom Jacko,2.032,102.06,Forward,25,22,27.3,6.8,12.2,0.557,6.8,12.1,0.558,0,0.1,0.5,2.9,4,0.73,0.6,0.7,0.9,16.6,2.4,4,6.4,1.8,1,2016,2016,FALSE
Adrease Jackson,2.032,99.792,Forward,24,9.5,15.6,2.5,5.6,0.442,1.6,3.1,0.513,0.9,2.4,0.35,1,1.4,0.746,0.5,0.3,0.5,6.8,1.1,3.3,4.4,1,2,2018,2019,FALSE
Albert Jackson,2.1082,120.20400000000001,Forward,28.5,13.75,16.5,1.4,2.9,0.498,1.4,2.9,0.498,0,0,0,0.6,1.2,0.529,0.4,0.3,0.9,3.5,1.4,2,3.4,1.5,4,2007,2010,FALSE
Ameer Jackson,1.9304,83.916,Guard,4,1,24.8,3,9.3,0.324,1.5,5,0.3,1.5,4.3,0.353,3.5,6.3,0.56,1.5,0,0.3,11,0.8,1.3,2,1.5,1,2016,2016,FALSE
