name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Jamal Lewis,1.8288,72.57600000000002,Guard,26.333333333333332,9.0,16.3,1.0,2.9,0.348,0.7,1.9,0.392,0.3,1.1,0.348,0.6,1.0,0.595,1.7,0.8,0.1,2.9,0.2,1.2,1.4,1.3,Penn,3.0,2013,2016,False
Ed Thomas,1.7526,72.1224,Guard,5.0,0.0,3.3,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.7,0.28600000000000003,0.7,0.3,0.0,0.2,0.0,0.3,0.3,1.1,Western Michigan,2.0,2010,2011,False
Joe Wolfinger,2.1336,115.668,Center,24.333333333333332,6.0,11.9,1.8,4.1,0.446,1.2,2.4,0.511,0.6,1.6,0.446,0.6,1.0,0.627,0.2,0.1,0.3,4.9,0.9,1.6,2.5,0.8,Overall,3.0,2008,2010,False
Ron Freeman,1.9812,81.648,Guard,12.5,4.0,10.8,1.3,4.1,0.311,0.9,2.1,0.434,0.4,2.0,0.311,0.8,1.2,0.633,0.4,0.5,0.1,3.7,0.4,1.7,2.1,0.6,Overall,2.0,2016,2019,False
Nick Colella,1.905,88.45200000000001,Guard,28.5,10.0,21.3,1.1,3.4,0.311,0.2,0.5,0.32299999999999995,0.9,2.8,0.311,0.5,0.6,0.703,0.8,0.5,0.1,3.4,0.3,1.6,1.9,0.5,Penn State,2.0,2012,2013,False
Mohamed Sherif,2.032,104.328,Forward,18.333333333333332,7.333333333333333,17.1,1.8,3.9,0.456,1.8,3.9,0.458,0.0,0.0,0.456,1.1,2.8,0.381,0.4,0.1,0.3,4.7,1.3,1.9,3.2,1.4,Alabama A&M,3.0,2016,2018,False
Lane Severyn,1.9558,92.988,Guard,27.75,3.5,12.4,0.8,2.0,0.408,0.3,0.5,0.596,0.5,1.5,0.408,0.3,0.5,0.593,0.6,0.4,0.1,2.4,0.7,1.3,2.1,0.5,South Dakota State,4.0,2015,2018,False
David Skara,2.032,96.6168,Forward,24.4,10.6,22.8,2.1,4.5,0.456,1.5,2.7,0.545,0.6,1.8,0.456,1.1,1.5,0.725,1.3,0.6,0.4,5.8,1.0,2.3,3.4,1.2,Overall,5.0,2015,2019,False
Mitchell Watt,2.0828,102.06,Forward,32.0,29.75,19.5,3.2,6.2,0.521,3.2,6.0,0.53,0.1,0.3,0.521,1.7,2.5,0.6809999999999999,1.3,0.6,1.5,8.3,1.5,2.9,4.4,1.8,Buffalo,4.0,2009,2012,False
Ryan Winters,2.0066,98.8848,Forward,21.5,5.0,14.3,1.2,2.5,0.491,1.2,2.5,0.491,0.0,0.0,0.491,0.8,1.2,0.7020000000000001,0.5,0.3,0.1,3.3,1.0,1.6,2.5,0.7,Elon,4.0,2012,2015,False
Cameron Miles,1.8542,79.38,Guard,28.25,1.75,14.0,1.1,3.1,0.34600000000000003,0.8,2.2,0.369,0.3,0.9,0.34600000000000003,0.7,1.0,0.721,1.2,0.8,0.0,3.1,0.2,0.9,1.0,1.1,San Diego,4.0,2010,2013,False
Robert Wilson,1.9304,90.72,Guard,29.25,0.5,10.0,0.9,2.2,0.425,0.6,1.2,0.526,0.3,1.0,0.425,0.5,0.7,0.736,0.4,0.2,0.1,2.7,0.4,0.8,1.2,0.4,Wisconsin,4.0,2009,2012,False
Will Ferris,1.8542,79.38,Guard,29.0,1.0,6.0,0.4,1.1,0.333,0.1,0.3,0.333,0.3,0.8,0.333,0.3,0.3,1.0,0.6,0.1,0.0,1.3,0.2,0.3,0.5,0.4,Eastern Washington,1.0,2016,2016,False
Johnny Mazza,1.8288,72.57600000000002,Guard,7.5,0.0,1.5,0.2,0.3,0.6,0.1,0.1,1.0,0.1,0.3,0.6,0.1,0.1,0.5,0.2,0.0,0.0,0.6,0.0,0.3,0.3,0.1,Xavier,2.0,2010,2011,False
Robert Upshaw,2.1082,115.668,Center,13.666666666666666,3.0,20.3,3.0,5.9,0.506,3.0,5.9,0.508,0.0,0.0,0.506,1.3,2.9,0.442,0.4,0.3,3.0,7.3,1.7,4.1,5.8,1.1,Overall,3.0,2013,2015,False
Josh Oglesby,1.9558,90.72,Guard,31.5,2.25,18.2,1.7,4.9,0.343,0.5,1.3,0.394,1.2,3.6,0.343,0.5,0.7,0.774,1.2,0.3,0.1,5.0,0.3,1.3,1.6,0.5,Iowa,4.0,2012,2015,False
Kenneth Smith,1.8542,74.844,Guard,16.0,0.0,3.1,0.3,1.1,0.294,0.2,0.3,0.75,0.1,0.8,0.294,0.4,0.6,0.667,0.1,0.3,0.0,1.1,0.1,0.6,0.6,0.2,Jackson State,1.0,2013,2013,False
Olalekan Ajayi,2.1082,111.132,Forward,27.333333333333332,9.0,16.2,0.8,1.7,0.45,0.8,1.7,0.45,0.0,0.0,0.45,0.7,1.2,0.57,0.2,0.5,0.4,2.2,1.5,3.1,4.5,0.8,Overall,3.0,2014,2016,False
Curtis Dennis,1.9558,92.988,Guard,24.25,1.75,14.7,2.0,5.0,0.41,1.1,2.1,0.547,0.9,2.9,0.41,0.8,1.1,0.757,0.7,0.6,0.1,5.8,0.6,1.2,1.8,0.7,Overall,4.0,2010,2013,False
Jeremy Montgomery,1.8796,86.184,Guard,34.75,22.25,25.4,3.2,7.9,0.406,1.7,3.6,0.469,1.5,4.3,0.406,1.8,2.2,0.7879999999999999,2.0,0.9,0.0,9.7,0.5,1.4,1.9,2.0,Cleveland State,4.0,2009,2012,False
Charles Hankerson Jr.,1.9304,104.328,Guard,23.4,8.0,17.7,1.6,4.1,0.377,0.9,2.1,0.42,0.7,2.1,0.377,0.8,1.4,0.578,1.3,0.6,0.0,4.6,0.3,1.6,1.9,0.9,Overall,5.0,2011,2015,False
A.J. Davis,2.0574,97.524,Forward,23.4,18.2,27.5,2.7,6.9,0.395,2.1,4.7,0.438,0.6,2.1,0.395,2.7,3.8,0.713,2.0,0.8,0.4,8.8,1.3,4.5,5.7,2.0,Overall,5.0,2014,2018,False
Shamar Coombs,1.8542,81.648,Guard,27.5,8.5,19.2,1.8,5.1,0.353,0.9,2.2,0.408,0.9,3.0,0.353,1.3,1.8,0.747,1.7,0.4,0.1,5.9,0.6,1.5,2.1,2.1,Texas A&M-Corpus Christi,2.0,2009,2010,False
Andy Nagel,2.0574,111.132,Forward,21.5,0.0,7.4,0.5,1.1,0.468,0.5,1.0,0.489,0.0,0.0,0.468,0.3,0.5,0.522,0.2,0.0,0.0,1.3,0.7,0.5,1.3,0.3,North Dakota State,2.0,2010,2011,False
Jakub Jokl,2.1082,104.328,Forward,12.0,0.0,3.6,0.3,0.5,0.583,0.3,0.5,0.583,0.0,0.0,0.583,0.3,0.4,0.7,0.1,0.0,0.3,0.9,0.3,0.8,1.0,0.3,Utah,2.0,2017,2018,False
Paris Horne,1.905,84.8232,Guard,32.25,20.75,26.8,3.4,7.9,0.434,2.3,4.7,0.488,1.1,3.2,0.434,1.3,2.0,0.629,1.5,1.0,0.3,9.3,1.2,1.7,2.9,1.5,St. John's (NY),4.0,2008,2011,False
Kyle Ahrens,1.9812,95.256,Guard,29.25,3.25,11.0,1.1,2.5,0.425,0.5,0.9,0.573,0.5,1.6,0.425,0.4,0.5,0.78,0.5,0.3,0.0,3.0,0.4,1.2,1.5,0.5,Michigan State,4.0,2016,2020,False
Darral Willis Jr.,2.0574,100.2456,Forward,34.5,10.0,17.2,3.6,6.9,0.524,3.4,6.2,0.541,0.3,0.7,0.524,2.6,3.7,0.703,0.8,0.3,0.6,10.1,1.8,3.8,5.6,1.5,Wichita State,2.0,2017,2018,False
Ben Mills,2.1336,104.328,Center,14.5,0.25,4.1,0.5,1.1,0.468,0.5,1.1,0.459,0.0,0.0,0.468,0.2,0.4,0.5710000000000001,0.1,0.1,0.1,1.2,0.4,0.7,1.1,0.3,Colorado,4.0,2011,2014,False
Justice Obasohan,1.9558,99.792,Guard,9.5,1.0,6.1,0.3,1.1,0.3,0.3,1.0,0.324,0.0,0.1,0.3,0.2,0.3,0.7,0.2,0.1,0.3,0.8,0.3,0.6,0.9,0.3,East Carolina,4.0,2016,2019,False
Seth Fuller,1.8034,81.648,Guard,18.75,1.5,9.3,0.6,1.9,0.303,0.2,0.5,0.343,0.4,1.5,0.303,0.2,0.3,0.789,0.7,0.2,0.0,1.8,0.2,0.7,0.8,0.7,Elon,4.0,2017,2020,False
Jeffrey Altidort,1.8542,81.648,Guard,28.0,16.0,23.9,2.0,5.2,0.393,1.3,3.2,0.424,0.7,2.0,0.393,1.3,2.1,0.632,2.8,0.9,0.3,6.1,0.2,1.9,2.1,2.1,Bethune-Cookman,2.0,2017,2018,False
Johnny Lee,1.7526,74.844,Guard,22.25,6.0,11.9,0.6,1.8,0.311,0.2,0.6,0.389,0.3,1.2,0.311,0.5,0.7,0.667,1.7,0.6,0.0,1.9,0.2,0.9,1.1,1.1,Overall,4.0,2007,2010,False
Steven Bennett,1.8796,79.38,Guard,8.0,0.0,3.5,0.3,0.9,0.35700000000000004,0.0,0.1,0.25,0.3,0.8,0.35700000000000004,0.0,0.0,0.0,0.3,0.0,0.0,0.9,0.1,0.3,0.4,0.2,Butler,4.0,2014,2017,False
Daquon Ervin,1.8288,83.916,Guard,11.5,0.0,11.0,0.4,2.0,0.2,0.3,1.3,0.258,0.0,0.6,0.2,0.7,1.2,0.5710000000000001,1.0,0.3,0.0,1.5,0.3,0.8,1.1,0.6,UMBC,2.0,2016,2017,False
